gains_losses,value,case,zone,flux,heat_direction,HEI
cooling,0.0,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.0
east_intWall,56233.0414801676,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.056534729454392044
east_intWall,-18578.196215444077,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.01867786748047708
heating,0.0,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.0
internal,0.0,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.0
none_extRoof,56523.03286395814,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.05682627663013008
none_extRoof,-3419.2018389920604,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.003437545717415101
none_intFloor,72433.39009968404,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.07282199228356359
none_intFloor,-28002.91597276526,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.02815315047493389
north_extWall,149658.04613085114,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.1504609554449335
north_extWall,-13308.964629895087,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.013380366682363365
south_intWall,89968.7467115536,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.09045142536852244
south_intWall,-35697.03360608535,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.035888546735572395
vn_interzone,9224.885379362846,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.009274376513210447
vn_interzone,-36349.579791533295,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.03654459380469289
vn_window,4065.857563034219,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.004087670723044594
vn_window,-320521.5248260555,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.32224110973512016
west_extWall,58510.77893407275,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.05882468687684586
west_extWall,-19958.634899043915,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.02006571216131687
west_extWindow,609.6143037214736,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,0.0006128848595994237
west_extWindow,-16000.996382160962,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.016086841075192714
west_frame,0.16116405490844538,U001_Caso01_1a7_hi_in1.csv,BWC,convection,gain,1.620286934903772e-07
west_frame,-5599.067182887124,U001_Caso01_1a7_hi_in1.csv,BWC,convection,loss,0.005629105949980088
cooling,-408504.1401184512,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.16114353000021642
east_extWall,218658.3686553704,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.08625464941187155
east_extWall,-42451.148816973175,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.0167457983925157
heating,53756.63192652359,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.021205497273664175
internal,404298.4851035768,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.15948451598174537
none_extRoof,124499.46239780358,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.04911157778742206
none_extRoof,-30227.640896822042,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.011923964237621688
none_intFloor,146450.1953760649,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.05777053188561927
none_intFloor,-53402.00498200224,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.021065606799954922
north_intWall,128390.9525000956,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.05064666247925017
north_intWall,-19505.919773448823,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.007694543235922008
south_extWall,20160.763223477137,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.007952860777341503
south_extWall,-61640.066630312445,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.02431529316539342
south_extWindow,604.5484361443368,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.0002384775562572289
south_extWindow,-48342.884197194515,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.019069924255036307
south_frame,77.94260280919175,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,3.074619060270973e-05
south_frame,-8862.965212165665,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.0034961934538616036
vn_interzone,59816.29145246811,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,0.023595864544671507
vn_interzone,-190232.65548409478,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.07504149558223157
vn_window,57.54638140110142,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,gain,2.2700448115466805e-05
vn_window,-360401.4885482631,U001_Caso01_1a7_hi_in1.csv,DORM1,convection,loss,0.14216837083991285
